,Subject,readable_actions,action,average of:
178,1,WALKING_DOWNSTAIRS,fBodyAccMag_Std,-0.186530301
179,1,WALKING_DOWNSTAIRS,fBodyBodyAccJerkMag_Mean,0.026218495
180,1,WALKING_DOWNSTAIRS,fBodyBodyAccJerkMag_Std,-0.104052261
181,1,SITTING,Body_Acc_Mean_X,0.261237565
182,1,SITTING,Body_Acc_Mean_Y,-0.001308288
183,1,SITTING,Body_Acc_Mean_Z,-0.104544182
184,1,SITTING,Body_Acc_Std_X,-0.977229008
185,1,SITTING,Body_Acc_Std_Y,-0.922618642
186,1,SITTING,Body_Acc_Std_Z,-0.939586291
187,1,SITTING,Gravity_Acc_Mean_X,0.831509933
188,1,SITTING,Gravity_Acc_Mean_Y,0.204411593
189,1,SITTING,Gravity_Acc_Mean_Z,0.332043703
190,1,SITTING,Gravity_Acc_Std_X,-0.968457146
191,1,SITTING,Gravity_Acc_Std_Y,-0.935517056
192,1,SITTING,Gravity_Acc_Std_Z,-0.949040933
193,1,SITTING,Body_Acc_Jerk_Mean_X,0.07748252
194,1,SITTING,Body_Acc_Jerk_Mean_Y,-0.000619103
195,1,SITTING,Body_Acc_Jerk_Mean_Z,-0.003367792
196,1,SITTING,Body_Acc_Jerk_Std_X,-0.986430711
197,1,SITTING,Body_Acc_Jerk_Std_Y,-0.981371965
198,1,SITTING,Body_Acc_Jerk_Std_Z,-0.987910804
199,1,SITTING,BodyGyro_Mean_X,-0.045350057
200,1,SITTING,BodyGyro_Mean_Y,-0.091924155
201,1,SITTING,BodyGyro_Mean_Z,0.062931381
202,1,SITTING,BodyGyro_Std_X,-0.977211283
203,1,SITTING,BodyGyro_Std_Y,-0.966473895
204,1,SITTING,BodyGyro_Std_Z,-0.941425921
205,1,SITTING,BodyGyroJerk_Mean_X,-0.093679381
206,1,SITTING,BodyGyroJerk_Mean_Y,-0.040211812
207,1,SITTING,BodyGyroJerk_Mean_Z,-0.046702627
208,1,SITTING,BodyGyroJerk_Std_X,-0.991731592
209,1,SITTING,BodyGyroJerk_Std_Y,-0.989518069
210,1,SITTING,BodyGyroJerk_Std_Z,-0.987935806
211,1,SITTING,BodyAccMag_Mean,-0.948536786
212,1,SITTING,NameBodyAccMag_Std,-0.927078419
213,1,SITTING,GravityAccMag_Mean,-0.948536786
214,1,SITTING,GravityAccMag_Std,-0.927078419
215,1,SITTING,BodyAccJerkMag_Mean,-0.987364196
216,1,SITTING,BodyAccJerkMag_Std,-0.984120024
217,1,SITTING,BodyGyroMag_Mean,-0.93089249
218,1,SITTING,BodyGyroMag_Std,-0.93453184
219,1,SITTING,fBodyAcc_Mean_X,-0.979641239
220,1,SITTING,fBodyAcc_Mean_Y,-0.94408455
221,1,SITTING,fBodyAcc_Mean_Z,-0.959184889
222,1,SITTING,fBodyAcc_Std_X,-0.976412313
223,1,SITTING,fBodyAcc_Std_Y,-0.917275006
224,1,SITTING,fBodyAcc_Std_Z,-0.934469558
225,1,SITTING,fBodyAccJerk_Mean_X,-0.986597023
226,1,SITTING,fBodyAccJerk_Mean_Y,-0.981579467
227,1,SITTING,fBodyAccJerk_Mean_Z,-0.986053092
228,1,SITTING,fBodyAccJerk_Std_X,-0.987492994
229,1,SITTING,fBodyAccJerk_Std_Y,-0.98251391
230,1,SITTING,fBodyAccJerk_Std_Z,-0.988339185
231,1,SITTING,fBodyGyro_Mean_X,-0.976161464
232,1,SITTING,fBodyGyro_Mean_Y,-0.975838585
233,1,SITTING,fBodyGyro_Mean_Z,-0.951315544
234,1,SITTING,fBodyGyro_Std_X,-0.977904227
235,1,SITTING,fBodyGyro_Std_Y,-0.962345043
236,1,SITTING,fBodyGyro_Std_Z,-0.943917841
237,1,SITTING,fBodyAccMag_Mean,-0.947782923
238,1,SITTING,fBodyAccMag_Std,-0.928444802
239,1,SITTING,fBodyBodyAccJerkMag_Mean,-0.985262127
240,1,SITTING,fBodyBodyAccJerkMag_Std,-0.981606177
241,1,STANDING,Body_Acc_Mean_X,0.278917629
242,1,STANDING,Body_Acc_Mean_Y,-0.01613759
243,1,STANDING,Body_Acc_Mean_Z,-0.110601818
244,1,STANDING,Body_Acc_Std_X,-0.995759902
245,1,STANDING,Body_Acc_Std_Y,-0.973190056
246,1,STANDING,Body_Acc_Std_Z,-0.979775877
247,1,STANDING,Gravity_Acc_Mean_X,0.942952
248,1,STANDING,Gravity_Acc_Mean_Y,-0.272983832
249,1,STANDING,Gravity_Acc_Mean_Z,0.013490582
250,1,STANDING,Gravity_Acc_Std_X,-0.993762985
251,1,STANDING,Gravity_Acc_Std_Y,-0.981225958
252,1,STANDING,Gravity_Acc_Std_Z,-0.976324064
253,1,STANDING,Body_Acc_Jerk_Mean_X,0.075376654
254,1,STANDING,Body_Acc_Jerk_Mean_Y,0.007975731
255,1,STANDING,Body_Acc_Jerk_Mean_Z,-0.00368525
256,1,STANDING,Body_Acc_Jerk_Std_X,-0.994604542
257,1,STANDING,Body_Acc_Jerk_Std_Y,-0.985648732
258,1,STANDING,Body_Acc_Jerk_Std_Z,-0.992251177
259,1,STANDING,BodyGyro_Mean_X,-0.023987735
260,1,STANDING,BodyGyro_Mean_Y,-0.059397221
261,1,STANDING,BodyGyro_Mean_Z,0.074800751
262,1,STANDING,BodyGyro_Std_X,-0.987191947
263,1,STANDING,BodyGyro_Std_Y,-0.98773444
264,1,STANDING,BodyGyro_Std_Z,-0.980645627
265,1,STANDING,BodyGyroJerk_Mean_X,-0.099609213
266,1,STANDING,BodyGyroJerk_Mean_Y,-0.044062788
267,1,STANDING,BodyGyroJerk_Mean_Z,-0.048950547
268,1,STANDING,BodyGyroJerk_Std_X,-0.992945107
269,1,STANDING,BodyGyroJerk_Std_Y,-0.995137917
270,1,STANDING,BodyGyroJerk_Std_Z,-0.992108467
271,1,STANDING,BodyAccMag_Mean,-0.984278207
272,1,STANDING,NameBodyAccMag_Std,-0.981942929
273,1,STANDING,GravityAccMag_Mean,-0.984278207
274,1,STANDING,GravityAccMag_Std,-0.981942929
275,1,STANDING,BodyAccJerkMag_Mean,-0.992367791
276,1,STANDING,BodyAccJerkMag_Std,-0.993096209
277,1,STANDING,BodyGyroMag_Mean,-0.976493793
278,1,STANDING,BodyGyroMag_Std,-0.978690029
279,1,STANDING,fBodyAcc_Mean_X,-0.995249933
280,1,STANDING,fBodyAcc_Mean_Y,-0.977070848
281,1,STANDING,fBodyAcc_Mean_Z,-0.985297099
282,1,STANDING,fBodyAcc_Std_X,-0.996028345
283,1,STANDING,fBodyAcc_Std_Y,-0.972293102
284,1,STANDING,fBodyAcc_Std_Z,-0.97793726
285,1,STANDING,fBodyAccJerk_Mean_X,-0.994630797
286,1,STANDING,fBodyAccJerk_Mean_Y,-0.985418705
287,1,STANDING,fBodyAccJerk_Mean_Z,-0.990752166
288,1,STANDING,fBodyAccJerk_Std_X,-0.995073759
289,1,STANDING,fBodyAccJerk_Std_Y,-0.987018227
290,1,STANDING,fBodyAccJerk_Std_Z,-0.992349818
291,1,STANDING,fBodyGyro_Mean_X,-0.986386786
292,1,STANDING,fBodyGyro_Mean_Y,-0.988984456
293,1,STANDING,fBodyGyro_Mean_Z,-0.980773123
294,1,STANDING,fBodyGyro_Std_X,-0.987497129
295,1,STANDING,fBodyGyro_Std_Y,-0.987107728
296,1,STANDING,fBodyGyro_Std_Z,-0.98234533
297,1,STANDING,fBodyAccMag_Mean,-0.985356361
298,1,STANDING,fBodyAccMag_Std,-0.982313805
299,1,STANDING,fBodyBodyAccJerkMag_Mean,-0.992542478
300,1,STANDING,fBodyBodyAccJerkMag_Std,-0.992536003
301,1,LAYING,Body_Acc_Mean_X,0.221598244
302,1,LAYING,Body_Acc_Mean_Y,-0.040513953
303,1,LAYING,Body_Acc_Mean_Z,-0.113203554
304,1,LAYING,Body_Acc_Std_X,-0.928056469
305,1,LAYING,Body_Acc_Std_Y,-0.836827406
306,1,LAYING,Body_Acc_Std_Z,-0.826061402
307,1,LAYING,Gravity_Acc_Mean_X,-0.248881798
308,1,LAYING,Gravity_Acc_Mean_Y,0.705549773
309,1,LAYING,Gravity_Acc_Mean_Z,0.44581772
310,1,LAYING,Gravity_Acc_Std_X,-0.896830018
311,1,LAYING,Gravity_Acc_Std_Y,-0.907720007
312,1,LAYING,Gravity_Acc_Std_Z,-0.85236629
313,1,LAYING,Body_Acc_Jerk_Mean_X,0.081086534
314,1,LAYING,Body_Acc_Jerk_Mean_Y,0.003838204
315,1,LAYING,Body_Acc_Jerk_Mean_Z,0.010834236
316,1,LAYING,Body_Acc_Jerk_Std_X,-0.958482112
317,1,LAYING,Body_Acc_Jerk_Std_Y,-0.924149274
318,1,LAYING,Body_Acc_Jerk_Std_Z,-0.954855111
319,1,LAYING,BodyGyro_Mean_X,-0.016553094
320,1,LAYING,BodyGyro_Mean_Y,-0.064486124
321,1,LAYING,BodyGyro_Mean_Z,0.148689436
322,1,LAYING,BodyGyro_Std_X,-0.873543868
323,1,LAYING,BodyGyro_Std_Y,-0.95109044
324,1,LAYING,BodyGyro_Std_Z,-0.908284663
325,1,LAYING,BodyGyroJerk_Mean_X,-0.107270949
326,1,LAYING,BodyGyroJerk_Mean_Y,-0.041517287
327,1,LAYING,BodyGyroJerk_Mean_Z,-0.074050121
328,1,LAYING,BodyGyroJerk_Std_X,-0.918608521
329,1,LAYING,BodyGyroJerk_Std_Y,-0.967907244
330,1,LAYING,BodyGyroJerk_Std_Z,-0.95779016
331,1,LAYING,BodyAccMag_Mean,-0.841929153
332,1,LAYING,NameBodyAccMag_Std,-0.795144864
333,1,LAYING,GravityAccMag_Mean,-0.841929153
334,1,LAYING,GravityAccMag_Std,-0.795144864
335,1,LAYING,BodyAccJerkMag_Mean,-0.954396265
336,1,LAYING,BodyAccJerkMag_Std,-0.928245628
337,1,LAYING,BodyGyroMag_Mean,-0.874759548
338,1,LAYING,BodyGyroMag_Std,-0.81901017
339,1,LAYING,fBodyAcc_Mean_X,-0.939099052
340,1,LAYING,fBodyAcc_Mean_Y,-0.867065205
341,1,LAYING,fBodyAcc_Mean_Z,-0.882666876
342,1,LAYING,fBodyAcc_Std_X,-0.924437435
343,1,LAYING,fBodyAcc_Std_Y,-0.833625556
344,1,LAYING,fBodyAcc_Std_Z,-0.812891559
345,1,LAYING,fBodyAccJerk_Mean_X,-0.957073884
346,1,LAYING,fBodyAccJerk_Mean_Y,-0.92246261
347,1,LAYING,fBodyAccJerk_Mean_Z,-0.948060904
348,1,LAYING,fBodyAccJerk_Std_X,-0.964160709
349,1,LAYING,fBodyAccJerk_Std_Y,-0.93221787
350,1,LAYING,fBodyAccJerk_Std_Z,-0.960586987
351,1,LAYING,fBodyGyro_Mean_X,-0.850249175
352,1,LAYING,fBodyGyro_Mean_Y,-0.952191495
353,1,LAYING,fBodyGyro_Mean_Z,-0.909302721
354,1,LAYING,fBodyGyro_Std_X,-0.882296451
355,1,LAYING,fBodyGyro_Std_Y,-0.951232049
356,1,LAYING,fBodyGyro_Std_Z,-0.916582508
357,1,LAYING,fBodyAccMag_Mean,-0.861767648
358,1,LAYING,fBodyAccMag_Std,-0.79830094
359,1,LAYING,fBodyBodyAccJerkMag_Mean,-0.933300361
360,1,LAYING,fBodyBodyAccJerkMag_Std,-0.921803976
361,2,WALKING,Body_Acc_Mean_X,0.276426586
362,2,WALKING,Body_Acc_Mean_Y,-0.01859492
363,2,WALKING,Body_Acc_Mean_Z,-0.105500358
364,2,WALKING,Body_Acc_Std_X,-0.423642838
365,2,WALKING,Body_Acc_Std_Y,-0.078091253
366,2,WALKING,Body_Acc_Std_Z,-0.425257525
367,2,WALKING,Gravity_Acc_Mean_X,0.913017333
368,2,WALKING,Gravity_Acc_Mean_Y,-0.34660709
369,2,WALKING,Gravity_Acc_Mean_Z,0.084727087
370,2,WALKING,Gravity_Acc_Std_X,-0.972693201
371,2,WALKING,Gravity_Acc_Std_Y,-0.97211688
372,2,WALKING,Gravity_Acc_Std_Z,-0.972072848
373,2,WALKING,Body_Acc_Jerk_Mean_X,0.06180807
374,2,WALKING,Body_Acc_Jerk_Mean_Y,0.018249268
375,2,WALKING,Body_Acc_Jerk_Mean_Z,0.007895337
376,2,WALKING,Body_Acc_Jerk_Std_X,-0.277530463
377,2,WALKING,Body_Acc_Jerk_Std_Y,-0.016602236
378,2,WALKING,Body_Acc_Jerk_Std_Z,-0.586090419
379,2,WALKING,BodyGyro_Mean_X,-0.053025816
380,2,WALKING,BodyGyro_Mean_Y,-0.048238232
381,2,WALKING,BodyGyro_Mean_Z,0.082833663
382,2,WALKING,BodyGyro_Std_X,-0.561550256
383,2,WALKING,BodyGyro_Std_Y,-0.538453668
384,2,WALKING,BodyGyro_Std_Z,-0.481085535
385,2,WALKING,BodyGyroJerk_Mean_X,-0.081883343
386,2,WALKING,BodyGyroJerk_Mean_Y,-0.053829945
387,2,WALKING,BodyGyroJerk_Mean_Z,-0.051493916
388,2,WALKING,BodyGyroJerk_Std_X,-0.389549832
389,2,WALKING,BodyGyroJerk_Std_Y,-0.634140436
390,2,WALKING,BodyGyroJerk_Std_Z,-0.435492677
391,2,WALKING,BodyAccMag_Mean,-0.290407594
392,2,WALKING,NameBodyAccMag_Std,-0.422544169
393,2,WALKING,GravityAccMag_Mean,-0.290407594
394,2,WALKING,GravityAccMag_Std,-0.422544169
395,2,WALKING,BodyAccJerkMag_Mean,-0.281424154
396,2,WALKING,BodyAccJerkMag_Std,-0.164150985
397,2,WALKING,BodyGyroMag_Mean,-0.446549093
398,2,WALKING,BodyGyroMag_Std,-0.553019916
399,2,WALKING,fBodyAcc_Mean_X,-0.346048161
400,2,WALKING,fBodyAcc_Mean_Y,-0.02190481
401,2,WALKING,fBodyAcc_Mean_Z,-0.45380637
402,2,WALKING,fBodyAcc_Std_X,-0.457651384
403,2,WALKING,fBodyAcc_Std_Y,-0.169219686
404,2,WALKING,fBodyAcc_Std_Z,-0.455222146
405,2,WALKING,fBodyAccJerk_Mean_X,-0.304615323
406,2,WALKING,fBodyAccJerk_Mean_Y,-0.078764084
407,2,WALKING,fBodyAccJerk_Mean_Z,-0.55495671
408,2,WALKING,fBodyAccJerk_Std_X,-0.314313063
409,2,WALKING,fBodyAccJerk_Std_Y,-0.015332952
410,2,WALKING,fBodyAccJerk_Std_Z,-0.615898188
411,2,WALKING,fBodyGyro_Mean_X,-0.429713536
412,2,WALKING,fBodyGyro_Mean_Y,-0.554772112
413,2,WALKING,fBodyGyro_Mean_Z,-0.396659907
414,2,WALKING,fBodyGyro_Std_X,-0.604053019
415,2,WALKING,fBodyGyro_Std_Y,-0.533046953
416,2,WALKING,fBodyGyro_Std_Z,-0.559856635
417,2,WALKING,fBodyAccMag_Mean,-0.324289428
